ingredient_1,ingredient_2,products_with_adverse_events,avg_severity_score,max_severity_score,top_reactions
Calories,Carbohydrate,131,3.4,7,"diarrhoea (31), vomiting (26), abdominal pain (21)"
Calories,Fat (unspecified),108,3.25,7,"diarrhoea (23), vomiting (18), dyspnoea (16)"
Calories,Sodium,101,3.15,7,"diarrhoea (28), vomiting (22), nausea (22)"
Carbohydrate,Sodium,86,3.24,7,"diarrhoea (21), vomiting (18), nausea (15)"
Calcium,Magnesium,76,2.8,7,"diarrhoea (15), vomiting (13), abdominal pain upper (11)"
Calcium,Vitamin D,71,2.99,7,"vomiting (16), diarrhoea (15), nausea (13)"
Calcium,Vitamin C,71,2.93,7,"diarrhoea (19), abdominal pain upper (13), vomiting (12)"
Vitamin C,Zinc,69,3.25,7,"diarrhoea (14), abdominal pain upper (12), vomiting (12)"
Calcium,Potassium,68,3.16,7,"vomiting (17), nausea (13), diarrhoea (12)"
Cholesterol,Fat (unspecified),68,3.16,7,"diarrhoea (16), vomiting (15), hypersensitivity (11)"
Calories,Cholesterol,67,3.18,7,"diarrhoea (16), vomiting (15), hypersensitivity (11)"
Vitamin B12,Vitamin B6,67,2.97,7,"diarrhoea (15), abdominal pain upper (12), nausea (11)"
Calcium,Sodium,66,3.18,7,"vomiting (19), diarrhoea (16), nausea (14)"
Calcium,Calories,65,3.06,7,"vomiting (16), diarrhoea (14), nausea (11)"
Vitamin C,Vitamin E,65,2.97,7,"diarrhoea (16), nausea (11), abdominal pain upper (9)"
Vitamin A,Vitamin C,64,3.14,7,"diarrhoea (15), abdominal pain upper (10), vomiting (10)"
Vitamin E,Zinc,63,3.05,7,"diarrhoea (14), nausea (11), hypersensitivity (10)"
Vitamin D,Zinc,62,3.08,7,"diarrhoea (14), vomiting (13), nausea (11)"
Calcium,Carbohydrate,62,3.02,7,"vomiting (15), diarrhoea (13), nausea (11)"
Magnesium,Zinc,61,2.89,7,"abdominal pain upper (10), diarrhoea (9), vomiting (9)"
Niacin,Vitamin B12,61,3.13,7,"diarrhoea (13), abdominal pain upper (11), hypersensitivity (9)"
Niacin,Vitamin B6,61,3.18,7,"diarrhoea (15), abdominal pain upper (12), vomiting (9)"
Calcium,Iron,60,3.08,7,"vomiting (14), diarrhoea (13), hypersensitivity (11)"
Niacin,Vitamin C,60,2.95,7,"diarrhoea (15), abdominal pain upper (12), dyspnoea (8)"
Vitamin C,Vitamin D,60,3.05,7,"diarrhoea (16), vomiting (12), abdominal pain upper (10)"
Calories,Protein (unspecified),60,2.92,6,"diarrhoea (13), vomiting (12), nausea (10)"
Calcium,Zinc,59,2.69,7,"vomiting (11), abdominal pain upper (10), diarrhoea (9)"
Selenium,Zinc,59,3.05,7,"diarrhoea (13), hypersensitivity (10), dyspnoea (9)"
Vitamin B12,Vitamin C,59,2.88,7,"diarrhoea (15), abdominal pain upper (12), nausea (10)"
Vitamin B12,Vitamin E,59,2.9,7,"diarrhoea (16), nausea (13), vomiting (10)"
Fat (unspecified),Sodium,59,3.03,7,"diarrhoea (16), vomiting (14), nausea (11)"
Vitamin B12,Zinc,58,2.84,7,"diarrhoea (13), abdominal pain upper (9), vomiting (9)"
Vitamin B6,Vitamin C,58,3.0,7,"diarrhoea (16), abdominal pain upper (13), nausea (10)"
Magnesium,Vitamin C,57,2.89,7,"diarrhoea (13), abdominal pain upper (10), vomiting (9)"
Vitamin B12,Vitamin D,57,3.05,7,"diarrhoea (14), dyspnoea (10), nausea (10)"
Vitamin D,Vitamin E,57,3.07,7,"diarrhoea (15), nausea (11), vomiting (10)"
Riboflavin,Thiamin,56,2.86,7,"diarrhoea (13), abdominal pain upper (10), hypersensitivity (9)"
Riboflavin,Vitamin B6,56,2.88,7,"diarrhoea (14), abdominal pain upper (12), hypersensitivity (9)"
Thiamin,Vitamin B6,56,2.8,7,"diarrhoea (13), abdominal pain upper (10), vomiting (10)"
Selenium,Vitamin E,56,2.95,7,"diarrhoea (16), nausea (11), dyspnoea (9)"
Magnesium,Vitamin D,55,2.87,7,"diarrhoea (10), vomiting (10), abdominal pain upper (9)"
Folate,Vitamin B12,55,2.84,7,"abdominal pain upper (13), diarrhoea (11), nausea (10)"
Niacin,Thiamin,55,3.04,7,"diarrhoea (11), abdominal pain upper (10), hypersensitivity (8)"
Thiamin,Vitamin B12,55,2.73,7,"diarrhoea (11), abdominal pain upper (9), vomiting (9)"
Thiamin,Zinc,54,2.85,7,"abdominal pain upper (9), diarrhoea (9), vomiting (9)"
Vitamin B6,Zinc,54,3.04,7,"abdominal pain upper (10), diarrhoea (10), vomiting (9)"
Calcium,Vitamin A,54,3.15,7,"diarrhoea (12), abdominal pain upper (10), vomiting (9)"
Niacin,Riboflavin,54,3.09,7,"diarrhoea (12), abdominal pain upper (11), hypersensitivity (9)"
Iodine,Vitamin B12,54,2.85,7,"diarrhoea (14), nausea (10), vomiting (9)"
Folate,Niacin,53,2.98,7,"abdominal pain upper (10), diarrhoea (10), vomiting (8)"
