dsld_brand_name,dsld_full_name,dsld_product_type,dsld_ingredient_count,hfcs_report_count,hfcs_reaction_count,hfcs_max_severity,hfcs_top_reactions,average_rating
Bayer Citracal,Citracal Petites Calcium Citrate +D3,Other Combinations,3,245,417,Life Threatening,"[""choking"", ""foreign body"", ""dysphagia"", ""foreign body in throat"", ""retching""]",2.5
Centrum,Centrum Silver Men 50+,Other Combinations,30,138,263,Death,"[""choking"", ""dysphagia"", ""malaise"", ""foreign body"", ""death""]",4.5
Centrum,Centrum Women,Other Combinations,30,48,108,Hospitalization,"[""choking"", ""dysphagia"", ""foreign body trauma"", ""dyspnoea"", ""throat irritation""]",4.5
AZO,Men Bladder Control,Botanical with Nutrients,2,31,91,Life Threatening,"[""hypersensitivity"", ""hypertensive crisis"", ""blood pressure increased"", ""dyspnoea"", ""dizziness""]",3.7
Pure Garcinia Cambogia,Pure Garcinia Cambogia Extract,Botanical with Nutrients,4,29,162,Life Threatening,"[""alanine aminotransferase increased"", ""aspartate aminotransferase increased"", ""nausea"", ""somnolence"", ""headache""]",3.7
up&up,Calcium Chews Chocolate Flavor,Single Vitamin and Mineral,5,21,112,Death,"[""blood calcium increased"", ""nausea"", ""nephrolithiasis"", ""blood bicarbonate increased"", ""blood creatinine increased""]",4.6
Puritan's Pride,Ferrous Sulfate,Mineral,1,17,71,Death,"[""death"", ""vomiting"", ""constipation"", ""diarrhoea"", ""nausea""]",4.3
LES Labs,Thyroid Support,Other Combinations,10,15,46,Life Threatening,"[""rash"", ""panic attack"", ""abdominal pain"", ""nausea"", ""vomiting""]",4.1
DC,St. John's Wort,Botanical,3,14,56,Death,"[""cough"", ""death"", ""headache"", ""asthenia"", ""decreased appetite""]",4.6
Nature Made,Fish Oil Pearls,Fat/Fatty Acid,5,12,39,Death,"[""vomiting"", ""death"", ""cough"", ""dyspnoea"", ""choking""]",4.7
Pure,Red Yeast Rice,Non-Nutrient/Non-Botanical,1,11,41,Life Threatening,"[""dyspepsia"", ""myalgia"", ""muscular weakness"", ""rash"", ""fatigue""]",3.9
LES Labs,Immune Health,Other Combinations,9,11,62,Hospitalization,"[""body temperature increased"", ""dyspnoea"", ""pruritus"", ""rash"", ""urticaria""]",4.0
Osteo Bi-Flex,Osteo Bi-Flex Herbal Formula with Turmeric,Other Combinations,8,10,32,Life Threatening,"[""dysphagia"", ""heart rate irregular"", ""choking"", ""retching"", ""heart rate increased""]",4.1
KR,Iron & Folic Acid & Vitamin C Tablets,Other Combinations,3,9,52,Life Threatening,"[""cardiac failure congestive"", ""renal disorder"", ""alanine aminotransferase increased"", ""apoptosis"", ""aspartate aminotransferase increased""]",3.1
Apollo Sun,Vita D3 2000 IU,Vitamin,1,9,59,Death,"[""hypercalcaemia"", ""abdominal tenderness"", ""blood calcium increased"", ""calcium ionised increased"", ""hypervitaminosis""]",4.4
Goli Nutrition,Apple Cider Vinegar Gummies,Botanical with Nutrients,7,9,21,Life Threatening,"[""hypersensitivity"", ""swelling face"", ""tremor"", ""food poisoning"", ""malaise""]",4.1
Major,Magnesium Oxide 400 mg,Mineral,1,9,32,Death,"[""death"", ""toxicity to various agents"", ""diarrhoea"", ""drug intolerance"", ""heart rate decreased""]",4.2
Monster,Monster Energy,Other Combinations,11,8,27,Death,"[""emotional distress"", ""hypersensitivity"", ""urticaria"", ""choking"", ""foreign body trauma""]",3.6
NOW,Calcium Carbonate,Mineral,1,8,92,Hospitalization,"[""blood calcium increased"", ""blood creatinine increased"", ""hypercalcaemia"", ""milk-alkali syndrome"", ""renal failure acute""]",4.0
Herbalife Nutrition,Immunity Essentials,Other Combinations,6,8,40,Life Threatening,"[""chest pain"", ""abdominal pain"", ""gastrooesophageal reflux disease"", ""cardiac disorder"", ""heart rate irregular""]",4.8
