,0
ing_organic_food_blend,0.09833189
ing_enzogenol,0.040831394
ing_proprietary_blend,0.039427858
ing_calories,0.0381011
ing_biotin,0.03656532
ing_boron,0.024724418
type_enc,0.022737619
ing_hyaluronic_acid,0.022717271
ing_copper,0.022685785
ing_thiamine,0.021434084
ing_vitamin_d3,0.02091492
form_enc,0.020211618
ing_vanadium,0.01887067
dsld_ingredient_count,0.018637054
ing_vitamin_b1,0.018476438
ing_vitamin_c,0.017990435
ing_calcium,0.017877761
ing_molybdenum,0.017757826
brand_enc,0.017007232
ing_niacin,0.016981032
ing_vitamin_a,0.016841
ing_choline,0.016427215
ing_sodium,0.015588029
ing_zinc,0.015573492
ing_folic_acid,0.015470967
ing_protein,0.015226132
ing_total_carbohydrates,0.015074205
ing_iron,0.014966129
ing_manganese,0.014799828
ing_magnesium,0.014411824
ing_chromium,0.014280638
ing_folate,0.0142473765
ing_total_fat,0.014222205
ing_iodine,0.014215179
ing_inositol,0.014037652
ing_vitamin_b6,0.0139639955
ing_potassium,0.01394787
ing_lycopene,0.013751033
ing_cholesterol,0.0137029635
ing_vitamin_b3,0.01330787
ing_selenium,0.013281839
ing_riboflavin,0.012897112
ing_vitamin_e,0.012399392
ing_lutein,0.01235737
ing_pantothenic_acid,0.011986129
ing_bromelain,0.011844019
ing_vitamin_b2,0.011793644
ing_vitamin_k,0.011554555
ing_vitamin_d,0.011429897
ing_vitamin_b12,0.010944742
ing_phosphorus,0.010617175
ing_paba,0.009579381
ing_thiamin,0.0072481786
ing_fish_oil,0.005729232
